Wavelength,n,k,n,k,n
365.8,1.47968,0.00298,2.863689781,0.01448,1.51009455
366.6,1.47957,0.00297,2.857309524,0.01339,1.509879913
367.4,1.47946,0.00296,2.851054172,0.01235,1.509665277
368.2,1.47936,0.00296,2.84479882,0.01134,1.50945064
369,1.47925,0.00295,2.8388855,0.01052,1.509236004
369.8,1.47914,0.00294,2.832974632,0.00969,1.509021367
370.6,1.47903,0.00294,2.827171209,0.00894,1.508806731
371.4,1.47893,0.00293,2.82158843,0.008279,1.508592095
372.2,1.47882,0.00292,2.81600565,0.007618,1.508377458
373,1.47872,0.00292,2.810622174,0.00706,1.508162822
373.8,1.47862,0.00291,2.805347575,0.006531,1.507958013
374.6,1.47851,0.0029,2.800072977,0.006012,1.507763183
375.4,1.47841,0.00289,2.795071453,0.005588,1.507568352
376.2,1.47831,0.00289,2.790084166,0.005165,1.507373522
376.9,1.47821,0.00288,2.785160528,0.004773,1.507178691
377.7,1.47811,0.00287,2.780439975,0.004433,1.506983861
378.5,1.47801,0.00287,2.775719422,0.004094,1.506789031
379.3,1.47791,0.00286,2.771125167,0.003797,1.5065942
380.1,1.47781,0.00285,2.7666517,0.003525,1.50639937
380.9,1.47771,0.00285,2.762178232,0.003252,1.506204539
381.7,1.47762,0.00284,2.757880378,0.003028,1.506009709
382.5,1.47752,0.00284,2.753635595,0.002809,1.505814879
383.3,1.47743,0.00283,2.749392688,0.002597,1.505620048
384.1,1.47733,0.00282,2.745359551,0.002421,1.505425218
384.9,1.47724,0.00282,2.741326415,0.002245,1.505230388
385.7,1.47714,0.00281,2.737339117,0.002081,1.505041165
386.5,1.47705,0.0028,2.733501979,0.001939,1.504863777
387.3,1.47696,0.0028,2.729664841,0.001798,1.504686388
388.1,1.47687,0.00279,2.725908167,0.001672,1.504509
388.9,1.47678,0.00278,2.72225272,0.001558,1.504331612
389.7,1.47669,0.00278,2.718597273,0.001443,1.504154223
390.5,1.4766,0.00277,2.715049044,0.001346,1.503976835
391.3,1.47651,0.00277,2.711562248,0.001254,1.503799447
392.1,1.47642,0.00276,2.708075451,0.001162,1.503622058
392.8,1.47633,0.00275,2.70471603,0.001087,1.50344467
393.6,1.47624,0.00275,2.701386019,0.001012,1.503267282
394.4,1.47616,0.00274,2.698056008,9.39E-04,1.503089894
395.2,1.47607,0.00274,2.694868021,8.79E-04,1.502912505
396,1.47599,0.00273,2.691684008,8.19E-04,1.502735117
396.8,1.4759,0.00272,2.688515896,7.62E-04,1.502557729
397.6,1.47582,0.00272,2.685468066,7.13E-04,1.502382604
398.4,1.47573,0.00271,2.682420236,6.64E-04,1.502220637
399.2,1.47565,0.00271,2.679403489,6.19E-04,1.502058669
400,1.47557,0.0027,2.676482914,5.79E-04,1.501896701
400.8,1.47549,0.00269,2.673562339,5.40E-04,1.501734733
401.6,1.47541,0.00269,2.670684073,5.04E-04,1.501572766
402.4,1.47532,0.00268,2.667882624,4.72E-04,1.501410798
403.2,1.47524,0.00268,2.665081175,4.40E-04,1.50124883
404,1.47516,0.00267,2.662329928,4.12E-04,1.501086862
404.8,1.47508,0.00267,2.659640187,3.86E-04,1.500924895
405.6,1.47501,0.00266,2.656950447,3.60E-04,1.500762927
406.4,1.47493,0.00265,2.654315991,3.37E-04,1.500600959
407.2,1.47485,0.00265,2.651731185,3.16E-04,1.500438991
408,1.47477,0.00264,2.64914638,2.95E-04,1.500277024
408.7,1.4747,0.00264,2.646619575,2.76E-04,1.500115056
409.5,1.47462,0.00263,2.644133506,2.59E-04,1.499953088
410.3,1.47454,0.00263,2.641647437,2.42E-04,1.499804423
411.1,1.47447,0.00262,2.63922009,2.27E-04,1.499656139
411.9,1.4744,0.00261,2.636827077,2.13E-04,1.499507855
412.7,1.47432,0.00261,2.634434065,1.99E-04,1.49935957
413.5,1.47425,0.0026,2.632098815,1.87E-04,1.499211286
414.3,1.47417,0.0026,2.629793642,1.76E-04,1.499063002
415.1,1.4741,0.00259,2.62748847,1.64E-04,1.498914718
415.9,1.47403,0.00259,2.625238681,1.54E-04,1.498766434
416.7,1.47396,0.00258,2.623016547,1.45E-04,1.49861815
417.5,1.47389,0.00258,2.620794413,1.36E-04,1.498469866
418.3,1.47382,0.00257,2.618624093,1.28E-04,1.498321581
419.1,1.47375,0.00257,2.616480574,1.20E-04,1.498173297
419.9,1.47368,0.00256,2.614337055,1.13E-04,1.498025013
420.7,1.47361,0.00256,2.612240773,1.06E-04,1.497876729
421.5,1.47354,0.00255,2.610171779,9.97E-05,1.497728445
422.3,1.47347,0.00255,2.608102786,9.34E-05,1.497589878
423.1,1.4734,0.00254,2.606075609,8.80E-05,1.497453778
423.9,1.47333,0.00254,2.604077358,8.28E-05,1.497317678
424.6,1.47327,0.00253,2.602079107,7.77E-05,1.497181579
425.4,1.4732,0.00253,2.600116547,7.32E-05,1.497045479
426.2,1.47313,0.00252,2.598185531,6.90E-05,1.49690938
427,1.47307,0.00252,2.596254514,6.48E-05,1.49677328
427.8,1.473,0.00251,2.594352471,6.11E-05,1.496637181
428.6,1.47294,0.00251,2.592485429,5.77E-05,1.496501081
429.4,1.47287,0.0025,2.590618387,5.42E-05,1.496364981
430.2,1.47281,0.0025,2.588773112,5.11E-05,1.496228882
431,1.47274,0.00249,2.586967011,4.82E-05,1.496092782
431.8,1.47268,0.00249,2.58516091,4.54E-05,1.495956683
432.6,1.47262,0.00248,2.583368964,4.27E-05,1.495820583
433.4,1.47255,0.00248,2.581620977,4.04E-05,1.495684484
434.2,1.47249,0.00247,2.57987299,3.81E-05,1.495555163
435,1.47243,0.00247,2.578131217,3.59E-05,1.495429949
435.8,1.47237,0.00246,2.576438701,3.40E-05,1.495304735
436.6,1.47231,0.00246,2.574746185,3.21E-05,1.49517952
437.4,1.47224,0.00245,2.573053668,3.01E-05,1.495054306
438.2,1.47218,0.00245,2.571412158,2.86E-05,1.494929092
439,1.47212,0.00244,2.569772641,2.70E-05,1.494803877
439.8,1.47206,0.00244,2.568133125,2.54E-05,1.494678663
440.6,1.472,0.00243,2.56653388,2.41E-05,1.494553449
441.3,1.47194,0.00243,2.56494505,2.28E-05,1.494428234
442.1,1.47189,0.00242,2.563356219,2.14E-05,1.49430302
442.9,1.47183,0.00242,2.561796904,2.03E-05,1.494177806
443.7,1.47177,0.00241,2.560256585,1.93E-05,1.494052592
444.5,1.47171,0.00241,2.558716266,1.82E-05,1.493927377
445.3,1.47165,0.00241,2.557194718,1.72E-05,1.493802163
446.1,1.4716,0.0024,2.55570087,1.63E-05,1.49368132
446.9,1.47154,0.0024,2.554207022,1.54E-05,1.49356586
447.7,1.47148,0.00239,2.552721234,1.46E-05,1.493450401
448.5,1.47142,0.00239,2.551271935,1.38E-05,1.493334941
