Wavelength,n,k,n,k,n
920,1.45966,0.00113,2.322035946,0,1.467932223
920.7,1.45965,0.00113,2.321937066,0,1.467918627
921.5,1.45965,0.00113,2.321838185,0,1.467905031
922.3,1.45964,0.00113,2.321739304,0,1.467891434
923.1,1.45964,0.00113,2.321640423,0,1.467877838
923.9,1.45963,0.00113,2.321543125,0,1.467864242
924.7,1.45962,0.00113,2.321445888,0,1.467850645
925.5,1.45962,0.00113,2.321348651,0,1.467837049
926.3,1.45961,0.00113,2.321251414,0,1.467823453
927.1,1.45961,0.00112,2.321154177,0,1.467809856
927.9,1.4596,0.00112,2.32105694,0,1.46779626
928.7,1.45959,0.00112,2.320960133,0,1.467782903
929.5,1.45959,0.00112,2.320864506,0,1.467769826
930.3,1.45958,0.00112,2.320768879,0,1.467756749
931.1,1.45958,0.00112,2.320673251,0,1.467743673
931.9,1.45957,0.00112,2.320577624,0,1.467730596
932.7,1.45957,0.00112,2.320481997,0,1.467717519
933.5,1.45956,0.00112,2.320386369,0,1.467704442
934.3,1.45955,0.00112,2.320291584,0,1.467691366
935.1,1.45955,0.00112,2.320197533,0,1.467678289
935.9,1.45954,0.00111,2.320103482,0,1.467665212
936.6,1.45954,0.00111,2.320009431,0,1.467652135
937.4,1.45953,0.00111,2.31991538,0,1.467639059
938.2,1.45952,0.00111,2.31982133,0,1.467625982
939,1.45952,0.00111,2.319727279,0,1.467612905
939.8,1.45951,0.00111,2.319634403,0,1.467599828
940.6,1.45951,0.00111,2.319541897,0,1.467586893
941.4,1.4595,0.00111,2.31944939,0,1.467574309
942.2,1.4595,0.00111,2.319356883,0,1.467561726
943,1.45949,0.00111,2.319264377,0,1.467549143
943.8,1.45948,0.0011,2.31917187,0,1.467536559
944.6,1.45948,0.0011,2.319079363,0,1.467523976
945.4,1.45947,0.0011,2.318988292,0,1.467511393
946.2,1.45947,0.0011,2.318897298,0,1.467498809
947,1.45946,0.0011,2.318806304,0,1.467486226
947.8,1.45946,0.0011,2.31871531,0,1.467473643
948.6,1.45945,0.0011,2.318624315,0,1.467461059
949.4,1.45944,0.0011,2.318533321,0,1.467448476
950.2,1.45944,0.0011,2.318442472,0,1.467435893
951,1.45943,0.0011,2.318352959,0,1.467423309
951.8,1.45943,0.0011,2.318263446,0,1.467410726
952.5,1.45942,0.00109,2.318173933,0,1.467398195
953.3,1.45942,0.00109,2.31808442,0,1.46738608
954.1,1.45941,0.00109,2.317994907,0,1.467373966
954.9,1.4594,0.00109,2.317905394,0,1.467361852
955.7,1.4594,0.00109,2.317816182,0,1.467349737
956.5,1.45939,0.00109,2.317728119,0,1.467337623
957.3,1.45939,0.00109,2.317640057,0,1.467325508
958.1,1.45938,0.00109,2.317551995,0,1.467313394
958.9,1.45938,0.00109,2.317463933,0,1.467301279
959.7,1.45937,0.00109,2.317375871,0,1.467289165
960.5,1.45936,0.00108,2.317287809,0,1.467277051
961.3,1.45936,0.00108,2.31720014,0,1.467264936
962.1,1.45935,0.00108,2.317113499,0,1.467252822
962.9,1.45935,0.00108,2.317026858,0,1.467240707
963.7,1.45934,0.00108,2.316940216,0,1.467228593
964.5,1.45934,0.00108,2.316853575,0,1.467216479
965.3,1.45933,0.00108,2.316766934,0,1.467204782
966.1,1.45933,0.00108,2.316680292,0,1.467193113
966.9,1.45932,0.00108,2.316594078,0,1.467181445
967.7,1.45931,0.00108,2.316508828,0,1.467169776
968.4,1.45931,0.00108,2.316423579,0,1.467158108
969.2,1.4593,0.00107,2.31633833,0,1.467146439
970,1.4593,0.00107,2.31625308,0,1.467134771
970.8,1.45929,0.00107,2.316167831,0,1.467123102
971.6,1.45929,0.00107,2.316082582,0,1.467111434
972.4,1.45928,0.00107,2.315997736,0,1.467099765
973.2,1.45928,0.00107,2.31591385,0,1.467088097
974,1.45927,0.00107,2.315829963,0,1.467076428
974.8,1.45926,0.00107,2.315746077,0,1.46706476
975.6,1.45926,0.00107,2.315662191,0,1.467053091
976.4,1.45925,0.00107,2.315578305,0,1.467041423
977.2,1.45925,0.00107,2.315494419,0,1.467030077
978,1.45924,0.00106,2.315410859,0,1.467018833
978.8,1.45924,0.00106,2.315328309,0,1.467007589
979.6,1.45923,0.00106,2.315245758,0,1.466996345
980.4,1.45923,0.00106,2.315163207,0,1.466985101
981.2,1.45922,0.00106,2.315080656,0,1.466973856
982,1.45921,0.00106,2.314998105,0,1.466962612
982.8,1.45921,0.00106,2.314915555,0,1.466951368
983.6,1.4592,0.00106,2.314833204,0,1.466940124
984.3,1.4592,0.00106,2.314751961,0,1.46692888
985.1,1.45919,0.00106,2.314670718,0,1.466917635
985.9,1.45919,0.00106,2.314589475,0,1.466906391
986.7,1.45918,0.00105,2.314508232,0,1.466895147
987.5,1.45918,0.00105,2.314426989,0,1.466883903
988.3,1.45917,0.00105,2.314345746,0,1.466872658
989.1,1.45917,0.00105,2.314264528,0,1.466861651
989.9,1.45916,0.00105,2.314184566,0,1.466850811
990.7,1.45915,0.00105,2.314104604,0,1.466839971
991.5,1.45915,0.00105,2.314024643,0,1.466829131
992.3,1.45914,0.00105,2.313944681,0,1.46681829
993.1,1.45914,0.00105,2.313864719,0,1.46680745
993.9,1.45913,0.00105,2.313784757,0,1.46679661
994.7,1.45913,0.00105,2.313704795,0,1.46678577
